example_id,source_record_id,example_type,municipality,state,source_family,evidence_type,side_label,mechanism_class,brief_bounded_evidence_summary,why_this_example_matters,claim_it_supports,caveats,raw_bounded_snippet_or_pointer,source_lineage
WCCPEX-04b78c315901ed753adfaafc,WCM-03c3e96f4b4f7dea2cae4f4e,mechanism,Caledonia,MN,cba,mechanism,police_direct,step_schedule_seniority,"Caledonia, MN: a cba record codes step schedule seniority for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the step schedule seniority channel without treating the record as a causal estimate.,mechanism_card:step_schedule_seniority,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://caledoniamn.gov/wp-content/uploads/Resolution-2022-1-Resolution-Approving-Bargaining-Agreement-with-LELS.pdf
WCCPEX-d93826f028e20287c2faebf3,WCM-03e82e66beeb5f51044442b4,mechanism,Tonka Bay,MN,wage_schedule,mechanism,police_direct,step_schedule_seniority,"Tonka Bay, MN: a wage_schedule record codes step schedule seniority for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the step schedule seniority channel without treating the record as a causal estimate.,mechanism_card:step_schedule_seniority,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://cityoftonkabay.net/vertical/sites/%7B4A0B5943-C4EE-4132-80D2-7FD9E610BCBF%7D/uploads/WS_PACKET_5-9-23.pdf
WCCPEX-fa637add09963a080b3734e2,WCM-32ae0dd7404b0c8533e9afea,mechanism,Bruceville-Eddy,TX,budget_or_pay_plan,mechanism,non_safety_direct,cola_cpi_indexing,"Bruceville-Eddy, TX: a budget_or_pay_plan record codes cola cpi indexing for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the cola cpi indexing channel without treating the record as a causal estimate.,mechanism_card:cola_cpi_indexing,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-f7d15ac611bb5130584cd0ad,"{""candidate_id"": ""BRM5C-BRM5-20260731-14840-04"", ""final"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""original"": ""https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf"", ""scout_target_id"": ""BRM5-20260731-14840""}"
WCCPEX-c85689d111d6649da0624c40,WCM-476f2d9a5900e2036e6978de,mechanism,Union Gap,WA,agenda_packet_or_minutes,mechanism,police_direct,cola_cpi_indexing,"Union Gap, WA: a agenda_packet_or_minutes record codes cola cpi indexing for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the cola cpi indexing channel without treating the record as a causal estimate.,mechanism_card:cola_cpi_indexing,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-cc01eca3010afbf82c79a15a,"{""candidate_id"": ""BRM5C-BRM5-20260731-03741-01"", ""final"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-10-2022-Council-Packet.pdf"", ""original"": ""https://uniongapwa.gov/council/wp-content/uploads/sites/4/1-10-2022-Council-Packet.pdf"", ""scout_target_id"": ""BRM5-20260731-03741""}"
WCCPEX-878f9634860427d13452c14b,WCM-47b2faf43bf5c4502a66a7f6,mechanism,Warwick,PA,budget_or_pay_plan,mechanism,police_direct,cola_cpi_indexing,"Warwick, PA: a budget_or_pay_plan record codes cola cpi indexing for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the cola cpi indexing channel without treating the record as a causal estimate.,mechanism_card:cola_cpi_indexing,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-88eabb44ef43caef5b798b1c,"{""candidate_id"": ""BRM5C-BRM5-20260731-07227-01"", ""final"": ""https://warwick-bucks.com/wp-content/uploads/2024/10/2025-Draft-Budget-10.23-2.pdf"", ""original"": ""https://warwick-bucks.com/wp-content/uploads/2024/10/2025-Draft-Budget-10.23-2.pdf"", ""scout_target_id"": ""BRM5-20260731-07227""}"
WCCPEX-80dbbcb3f4d246dc7abfaaef,WCM-04e55c26cb92f005699651ae,mechanism,Ontario,NY,civil_service_or_hr_pay_plan,mechanism,non_safety_direct,market_recruitment_retention,"Ontario, NY: a civil_service_or_hr_pay_plan record codes market recruitment retention for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the market recruitment retention channel without treating the record as a causal estimate.,mechanism_card:market_recruitment_retention,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-dd31421eb11e3cbfef1a6f35,"{""candidate_id"": ""BRM5C-BRM5-20260731-17994-01"", ""final"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""original"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-17994""}"
WCCPEX-fe047165d32196d00caf2864,WCM-053e5956213928bac3069697,mechanism,Salem,OH,wage_schedule,mechanism,police_direct,market_recruitment_retention,"Salem, OH: a wage_schedule record codes market recruitment retention for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the market recruitment retention channel without treating the record as a causal estimate.,mechanism_card:market_recruitment_retention,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2ac97012632a1aef0fdae2ea,"{""candidate_id"": ""BRM5C-BRM5-20260731-02405-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-03-0244.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2023/23-MED-03-0244.pdf"", ""scout_target_id"": ""BRM5-20260731-02405""}"
WCCPEX-0683fc0744fd1d5134a9f6da,WCM-08fd9ec84b2491969cb16c7b,mechanism,Stone Harbor,NJ,wage_schedule,mechanism,police_direct,market_recruitment_retention,"Stone Harbor, NJ: a wage_schedule record codes market recruitment retention for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the market recruitment retention channel without treating the record as a causal estimate.,mechanism_card:market_recruitment_retention,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://stoneharbornj.org/wp-content/uploads/2025/05/Website-Regular-05-06-25.pdf
WCCPEX-d2fabc32027cdf0d9f2d46df,WCM-011e3b99eae1634ebb2b3209,mechanism,Flint charter,MI,cba,mechanism,police_direct,retroactivity_implementation,"Flint charter, MI: a cba record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the retroactivity implementation channel without treating the record as a causal estimate.,mechanism_card:retroactivity_implementation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://sanweb.lib.msu.edu/LIR/contracts/c4842.pdf
WCCPEX-74306cd723a39a8fdecaf5dd,WCM-031cd2f4bfe82508166c8fd4,mechanism,Lancaster,NY,arbitration_award,mechanism,police_direct,retroactivity_implementation,"Lancaster, NY: a arbitration_award record codes retroactivity implementation for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the retroactivity implementation channel without treating the record as a causal estimate.,mechanism_card:retroactivity_implementation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://perb.ny.gov/system/files/documents/2024/03/ia83-014-award-9-2-83.pdf
WCCPEX-50ce521ead120927aeb6428f,WCM-07320828baa6abf5cfd3efa9,mechanism,Big Bear Lake,CA,mou_or_memorandum,mechanism,non_safety_direct,retroactivity_implementation,"Big Bear Lake, CA: a mou_or_memorandum record codes retroactivity implementation for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the retroactivity implementation channel without treating the record as a causal estimate.,mechanism_card:retroactivity_implementation,Documentary mechanism example; not a wage-gap or causal-effect estimate.,,https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf
WCCPEX-84d60d648789abeaa588e12c,WCM-1bc6d229b4c31bb7d94b1b48,mechanism,Washington,PA,agenda_packet_or_minutes,mechanism,police_direct,ordinance_council_adoption,"Washington, PA: a agenda_packet_or_minutes record codes ordinance council adoption for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the ordinance council adoption channel without treating the record as a causal estimate.,mechanism_card:ordinance_council_adoption,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-15c337c586fb98bb0ab78a0c,"{""candidate_id"": ""BRM5C-BRM5-20260731-14711-02"", ""final"": ""https://washingtonpa.us/council-meeting-minutes-april-2-2020"", ""original"": ""https://washingtonpa.us/council-meeting-minutes-april-2-2020/"", ""scout_target_id"": ""BRM5-20260731-14711""}"
WCCPEX-691b60a557d81d806bb055be,WCM-5c9345bfec4c446c7822923f,mechanism,Worthington,OH,arbitration_award,mechanism,fire_direct,ordinance_council_adoption,"Worthington, OH: a arbitration_award record codes ordinance council adoption for fire_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the ordinance council adoption channel without treating the record as a causal estimate.,mechanism_card:ordinance_council_adoption,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0b4be36369b60bc235a90e48,"{""candidate_id"": ""BRM5C-BRM5-20260731-02471-02"", ""final"": ""https://worthington.org/Archive/ViewFile/Item/5984"", ""original"": ""https://www.worthington.org/Archive/ViewFile/Item/5984"", ""scout_target_id"": ""BRM5-20260731-02471""}"
WCCPEX-933bd132de7fd3ba9fe55c6f,WCM-5f4a3d4f2d386d3ba1b5c6e5,mechanism,Dover,OH,cba,mechanism,fire_direct,ordinance_council_adoption,"Dover, OH: a cba record codes ordinance council adoption for fire_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the ordinance council adoption channel without treating the record as a causal estimate.,mechanism_card:ordinance_council_adoption,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2a31a9c8b1d1182f40815245,"{""candidate_id"": ""BRM5C-BRM5-20260731-02243-03"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-11-1328.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-11-1328.pdf"", ""scout_target_id"": ""BRM5-20260731-02243""}"
WCCPEX-6e0a5f498b3ab5fea3275c6c,WCM-017021dd656b6510261fa1ec,mechanism,Huntington Bay,NY,arbitration_award,mechanism,police_direct,budget_fiscal_constraint,"Huntington Bay, NY: a arbitration_award record codes budget fiscal constraint for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the budget fiscal constraint channel without treating the record as a causal estimate.,mechanism_card:budget_fiscal_constraint,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2c8c2b36c029f2d0f1ca9b65,"{""candidate_id"": ""BRM5C-BRM5-20260731-06749-01"", ""final"": ""https://cf003.cdn.4science.cloud/4s-assetstore-prod--cornell--ecommons/11/48/35/114835632741267016876244147932674503753"", ""original"": ""https://ecommons.cornell.edu/bitstreams/ebba92ec-261c-4c0a-a3c1-247ee85766ce/download"", ""scout_target_id"": ""BRM5-20260731-06749""}"
WCCPEX-9484c5ee48320bc2c57fca84,WCM-02fc98da197b23e26981bbb5,mechanism,Hanover,OH,wage_schedule,mechanism,non_safety_direct,budget_fiscal_constraint,"Hanover, OH: a wage_schedule record codes budget fiscal constraint for non_safety_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the budget fiscal constraint channel without treating the record as a causal estimate.,mechanism_card:budget_fiscal_constraint,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-66a32a02a06a74571e6fc7ed,"{""candidate_id"": ""BRM5C-BRM5-20260731-09759-01"", ""final"": ""https://hanoverohio.net/wp-content/uploads/2024/12/2024-11-13-VOH-Council-Meeting-Minutes-Nov-13-2024.pdf"", ""original"": ""https://hanoverohio.net/wp-content/uploads/2024/12/2024-11-13-VOH-Council-Meeting-Minutes-Nov-13-2024.pdf"", ""scout_target_id"": ""BRM5-20260731-09759""}"
WCCPEX-6ffef1e55fc830798fb7ca9b,WCM-04776452946ca5e11849dc70,mechanism,Taylorville,IL,agenda_packet_or_minutes,mechanism,police_direct,budget_fiscal_constraint,"Taylorville, IL: a agenda_packet_or_minutes record codes budget fiscal constraint for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the budget fiscal constraint channel without treating the record as a causal estimate.,mechanism_card:budget_fiscal_constraint,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-9356736a4e2a94cd08f1ffc5,"{""candidate_id"": ""BRM5C-BRM5-20260731-04223-03"", ""final"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020agen.pdf"", ""original"": ""https://taylorville.net/wp-content/uploads/COUNCIL2020agen.pdf"", ""scout_target_id"": ""BRM5-20260731-04223""}"
WCCPEX-c24569c6bd53381699bae3b1,WCM-4e9d3202ab978d182b123ba9,mechanism,Franklin,IN,budget_or_pay_plan,mechanism,police_direct,classification_civil_service,"Franklin, IN: a budget_or_pay_plan record codes classification civil service for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the classification civil service channel without treating the record as a causal estimate.,mechanism_card:classification_civil_service,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-5d85df45a56e0aa556a2d528,"{""candidate_id"": ""BRM5C-BRM5-20260731-04329-01"", ""final"": ""https://franklin.in.gov/egov/documents/1733852781_74171.pdf"", ""original"": ""https://www.franklin.in.gov/egov/documents/1733852781_74171.pdf"", ""scout_target_id"": ""BRM5-20260731-04329""}"
WCCPEX-caedb9df9638617877d52c61,WCM-de5135b55e4ae3067b7a14e6,mechanism,Marion,IN,salary_ordinance,mechanism,police_direct,classification_civil_service,"Marion, IN: a salary_ordinance record codes classification civil service for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the classification civil service channel without treating the record as a causal estimate.,mechanism_card:classification_civil_service,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-405374703f723bcfd20eb40d,"{""candidate_id"": ""BRM5C-BRM5-20260731-04391-01"", ""final"": ""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-870/Common-Council-Agenda-9-16-2025.pdf"", ""original"": ""https://s3.us-east-2.amazonaws.com/marion-prod/downloads/meeting/regular-meeting-870/Common-Council-Agenda-9-16-2025.pdf"", ""scout_target_id"": ""BRM5-20260731-04391""}"
WCCPEX-108b1206b07c1033136c2d84,WCM-191adae7bd0a33c61a9745a6,mechanism,Hamilton,OH,wage_schedule,mechanism,remains_unclear,classification_civil_service,"Hamilton, OH: a wage_schedule record codes classification civil service for remains_unclear; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the classification civil service channel without treating the record as a causal estimate.,mechanism_card:classification_civil_service,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2e47c8911ecfe7026503a04d,"{""candidate_id"": ""BRM5C-BRM5-20260731-02274-01"", ""final"": ""https://gis.hamilton-oh.gov/webdocs/Dept%20CSP/Employment%20Agreements/FOP---Rank-and-File-.pdf"", ""original"": ""https://gis.hamilton-oh.gov/webdocs/Dept%20CSP/Employment%20Agreements/FOP---Rank-and-File-.pdf"", ""scout_target_id"": ""BRM5-20260731-02274""}"
WCCPEX-cfdab14887d017045b0994c6,WCM-bd62a36deb15fdc3fd897176,mechanism,Woodstock,NY,wage_schedule,mechanism,police_direct,comparability_parity,"Woodstock, NY: a wage_schedule record codes comparability parity for police_direct; the package preserves the bounded evidence pointer and source lineage.",It supplies a traceable documentary instance for the comparability parity channel without treating the record as a causal estimate.,mechanism_card:comparability_parity,Documentary mechanism example; not a wage-gap or causal-effect estimate.,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-d3e4279dfecad4d9ef70b8b0,"{""candidate_id"": ""BRM5C-BRM5-20260731-18066-01"", ""final"": ""https://woodstockny.gov/application/files/5817/6796/9507/Tentative_Police_Agreement_2025_2029.pdf"", ""original"": ""https://woodstockny.gov/application/files/5817/6796/9507/Tentative_Police_Agreement_2025_2029.pdf"", ""scout_target_id"": ""BRM5-20260731-18066""}"
